논문 제목,핵심 내용,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀을 바꿔 새로운 비즈니스 캔버스 모델을 제시,비즈니스 모델 캔버스(BMC) 활용 여부,기타,오류
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
Devices as a commons limits to premature recycling.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
Ease and Ethics of User Profiling in Black Mirror.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
Hypotheses engineering first essential steps of experiment-driven software development.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
IDSS-BM Intelligent Decision Support System for Business Models.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
